timestamp,ax,ay,az,gx,gy,gz,pitch,roll,label
333,0.34,-2.41,9.66,-0.05,-0.01,-0.03,-1.96,-14.02,0
386,0.39,-2.45,9.65,-0.05,-0.01,-0.03,-2.23,-14.25,0
439,0.31,-2.51,9.60,-0.04,-0.01,-0.03,-1.78,-14.68,0
492,0.32,-2.44,9.61,-0.05,-0.01,-0.03,-1.84,-14.25,0
545,0.34,-2.35,9.60,-0.05,-0.01,-0.03,-1.98,-13.74,0
598,0.41,-2.35,9.64,-0.05,-0.01,-0.03,-2.36,-13.70,0
651,0.37,-2.60,9.61,-0.05,-0.01,-0.03,-2.12,-15.15,0
704,0.31,-2.37,9.69,-0.05,-0.01,-0.03,-1.77,-13.73,0
757,0.37,-2.46,9.63,-0.05,-0.01,-0.03,-2.12,-14.32,0
810,0.33,-2.46,9.58,-0.05,-0.01,-0.03,-1.93,-14.39,0
863,0.30,-2.38,9.69,-0.05,-0.01,-0.03,-1.73,-13.79,0
916,0.33,-2.54,9.65,-0.04,-0.00,-0.03,-1.87,-14.76,0
969,0.31,-2.55,9.59,-0.03,0.00,-0.03,-1.78,-14.87,0
1022,0.28,-2.48,9.65,-0.02,0.00,-0.03,-1.61,-14.39,0
1075,0.56,-2.84,9.55,0.04,0.02,-0.03,-3.19,-16.57,0
1128,0.46,-1.93,9.73,0.06,0.02,-0.03,-2.68,-11.21,0
1181,0.05,-2.19,9.69,-0.02,-0.00,-0.03,-0.26,-12.74,0
1234,0.33,-1.98,9.79,-0.05,-0.01,-0.02,-1.91,-11.46,0
1287,0.22,-2.01,9.80,-0.13,-0.04,-0.04,-1.25,-11.59,0
1340,0.50,-2.10,9.83,-0.16,-0.04,-0.04,-2.85,-12.08,0
1393,0.11,-1.57,10.16,-0.23,-0.06,-0.04,-0.63,-8.79,0
1446,-2.32,-3.33,8.75,-0.25,0.02,0.05,13.91,-20.81,0
1499,-0.46,-2.60,9.86,-0.20,-0.04,-0.11,2.58,-14.74,0
1552,-0.33,-2.93,10.33,-0.16,-0.04,0.18,1.74,-15.83,0
1605,-0.80,-3.31,10.23,-0.18,-0.51,0.01,4.25,-17.92,0
1658,-0.75,-3.84,11.46,0.02,-0.86,-0.02,3.55,-18.50,0
1711,0.77,-3.22,9.51,0.09,-1.04,-0.05,-4.36,-18.72,0
1764,1.59,-2.15,9.06,0.08,-1.22,-0.12,-9.70,-13.37,0
1817,2.51,-2.84,8.21,0.00,-1.27,-0.20,-16.13,-19.10,0
1870,3.15,-2.77,8.20,0.24,-1.28,-0.30,-20.00,-18.66,0
1923,4.04,-1.13,8.13,0.16,-1.26,-0.34,-26.22,-7.91,0
1976,5.37,-1.78,7.95,-0.06,-0.95,-0.30,-33.38,-12.59,0
2029,5.72,-1.82,8.13,-0.16,-0.59,-0.22,-34.48,-12.62,0
2082,5.94,-3.07,8.08,-0.12,-0.25,-0.12,-34.48,-20.80,0
2135,5.46,-2.12,8.25,-0.01,0.07,-0.09,-32.67,-14.42,0
2188,5.19,-1.72,8.44,-0.15,0.16,-0.00,-31.09,-11.55,0
2241,6.04,-2.85,8.39,-0.16,0.39,0.06,-34.25,-18.75,0
